year,%
197012,0
197112,5.906757438
197212,9.926644561
197312,6.010780757
197412,1.538959252
197512,3.710897874
197612,3.329877511
197712,3.803726015
197812,5.591099646
197912,5.336639881
198012,0.794899572
198112,2.080345428
198212,4.470462339
198312,2.387073182
198412,2.726005787
198512,4.105928849
198612,2.941911667
198712,4.465256762
198812,4.805694266
198912,3.912483533
199012,4.818131573
199112,2.945173517
199212,1.748148773
199312,1.740995696
199412,2.2468247
199512,2.094952689
199612,2.787440277
199712,-0.645983768
199812,0.435102787
199912,0.231815533
200012,1.38488208
200112,1.3713006
200212,0.669944118
200312,1.663818212
